NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
SQ,3.606121442,2.511292481,3.105178086,3.547615674,2.41468876,2.282029474,2.159259051,2.315554882,1.897506489,1.655097926,0,4.123718157,3.592788662,6.812383674,5.268857452,4.356009015,3.451445418,3.65013114,3.49915714,3.81435358,3.749817331,3.534707595,3.453104461,3.437410171,3.449537287,3.280292346,3.579205921,3.733092437,3.650697088,3.975030072,4.225694808
JEM,4.166469883,3.754245789,4.200736892,3.969022249,3.977551341,3.914441063,3.83723286,3.978136055,3.761644714,3.868167525,4.123718157,0,3.842153938,6.949280199,5.385218344,4.396152736,3.397262172,3.528215245,3.357687003,3.564015611,3.451224096,3.203863009,2.991642825,2.915637042,3.034888364,2.76574107,2.494328307,2.960152788,2.957416784,2.829627541,3.099344165
XDQ,2.733368866,2.936978845,3.360883486,2.798121107,3.427214106,3.409720278,3.324178941,3.500335774,3.246355384,3.353673345,3.592788662,3.842153938,0,6.051895336,4.23480303,3.33271637,2.584929277,2.741348107,2.904171505,3.072395986,3.056581215,2.863406549,2.938870983,2.84343952,2.765849843,2.633714127,3.130874481,3.187399093,3.067343895,3.530689083,3.81155576
NMQ,6.451613838,6.26845714,6.542775613,5.817422545,6.69913268,6.66672905,6.580805196,6.74925123,6.495161709,6.592122393,6.812383674,6.949280199,6.051895336,0,7.072866484,6.338044152,5.454303011,5.944244207,5.674194419,6.129195331,6.096237905,5.907817713,5.945558305,5.939732876,5.915893462,5.796912905,6.244717391,6.331408798,6.235012588,6.665491493,6.959497044
JC,4.772245348,4.69112894,5.027754964,4.305720598,5.134420123,5.106257263,5.020874953,5.190983978,4.938632531,5.039910994,5.268857452,5.385218344,4.23480303,7.072866484,0,4.278001682,3.747546845,4.220234522,4.235051222,4.505827627,4.4975459,4.316526833,4.404737603,4.351359201,4.295041911,4.179397464,4.665672439,4.73204823,4.623581775,5.078040148,5.368993338
MEK,3.883860596,3.789491389,4.152716557,3.543825722,4.217963043,4.188378296,4.10361678,4.272142671,4.022362719,4.124507173,4.356009015,4.396152736,3.33271637,6.338044152,4.278001682,0,2.582905068,3.1081353,3.246415342,3.44755521,3.455882001,3.282489391,3.402115593,3.334634136,3.26571517,3.157023911,3.663599794,3.720554126,3.608433075,4.075294428,4.368130453
HY,3.070590148,2.915884947,3.278515983,2.74024405,3.320148232,3.286279055,3.202009415,3.367528688,3.120122199,3.221069168,3.451445418,3.397262172,2.584929277,5.454303011,3.747546845,2.582905068,0,2.056415554,2.129562126,2.311590366,2.341657587,2.186361686,2.348398433,2.297981334,2.236240987,2.144426842,2.654279025,2.712881973,2.606609688,3.072834024,3.37204514
MNG,3.242682728,3.105117593,3.507066853,3.041051104,3.50551344,3.47299173,3.389414555,3.554841708,3.309967699,3.413738713,3.65013114,3.528215245,2.741348107,5.944244207,4.220234522,3.1081353,2.056415554,0,2.530066622,2.38524083,2.477179216,2.327635958,2.537113036,2.402338528,2.271346056,2.186478885,2.761776656,2.787585376,2.660941845,3.167838415,3.463645117
JZ,3.2931568,3.028367139,3.36753892,2.926113456,3.392022548,3.349359245,3.265353333,3.425567137,3.180166371,3.276371358,3.49915714,3.357687003,2.904171505,5.674194419,4.235051222,3.246415342,2.129562126,2.530066622,0,2.489896553,2.39138667,2.187439017,2.175951771,2.272760904,2.305811613,2.201282708,2.630836607,2.730880889,2.652935647,3.072077497,3.382738316
RK,3.516068957,3.310457816,3.700135757,3.269506596,3.681180543,3.642508297,3.559437826,3.720805485,3.478607426,3.580282073,3.81435358,3.564015611,3.072395986,6.129195331,4.505827627,3.44755521,2.311590366,2.38524083,2.489896553,0,1.784266491,1.92623944,2.453115929,2.334007541,2.206420044,2.199954206,2.779595177,2.814853358,2.708073638,3.20325308,3.513649723
