NAME,BGX,JD,DG,LH,GQC,NQ,GLG,LBH,YS,XW,SQ,JEM,XDQ,NMQ,JC,MEK,HY,MNG,JZ,RK,HH,JZX,HN,XH,LT,LX,DY,HZ,GL,DL,YZ
SQ,3.891132759,3.626998768,3.480668179,3.649246535,3.08468457,3.043978024,2.714792666,3.173698705,2.189662029,1.955349017,0,7.618734697,3.912236467,3.947437434,4.022444797,4.274947433,3.657142627,4.04219247,3.714626364,3.814112425,3.868347776,3.858722979,3.916155929,4.012230416,3.997528179,4.055771049,5.064621498,4.812569991,5.019687038,5.513902786,6.642254571
JEM,6.874922474,7.84427026,7.201007798,6.398177533,8.238722064,8.308382898,8.018908095,8.508056875,7.709086127,7.83746417,7.618734697,0,6.633542411,6.304468779,6.34475788,6.461467354,5.666262202,5.897251389,5.646971161,5.524833425,5.522270724,5.456945926,5.382707203,5.307751761,5.394726857,5.26010365,4.966711472,5.484944693,5.806247726,4.975323374,5.85221376
XDQ,1.813378275,3.702315923,3.187121419,2.108703626,4.479139472,4.584583335,4.292120154,4.815600711,3.991156694,4.133906515,3.912236467,6.633542411,0,2.499163297,2.315747289,2.596451543,2.154680656,2.544219246,2.407551155,2.425809499,2.507056207,2.516231227,2.677448484,2.732261754,2.677995255,2.765573432,3.893205473,3.58098338,3.773222409,4.374055226,5.536540763
NMQ,2.763176226,3.971574403,3.218206557,2.134202279,4.600515248,4.687747831,4.393089,4.905388187,4.075358307,4.198709903,3.947437434,6.304468779,2.499163297,0,2.100290663,2.412089977,1.791715062,2.262484947,1.965079329,2.063890721,2.136723456,2.143280233,2.295745546,2.363146226,2.316095704,2.404447511,3.538658247,3.222021414,3.414899229,4.025656176,5.193996621
JC,2.661266201,4.00195001,3.305034828,2.171292117,4.656456347,4.746938625,4.452876862,4.966811312,4.138839984,4.266382521,4.022444797,6.34475788,2.315747289,2.100290663,0,2.084151396,1.718180798,2.18288062,2.05229421,2.055305565,2.14189265,2.155693181,2.342181204,2.388241469,2.326975312,2.421147639,3.571026118,3.247650719,3.437279631,4.057589093,5.226399198
MEK,2.956548547,4.275010942,3.581411191,2.510066705,4.91251915,5.001419499,4.707434771,5.219889517,4.39279692,4.519355563,4.274947433,6.461467354,2.596451543,2.412089977,2.084151396,0,1.738216347,2.200134256,2.179359933,2.121616509,2.218237277,2.237510833,2.450015794,2.481114674,2.409244865,2.508534433,3.673827488,3.343385935,3.530328613,4.161711637,5.332540389
HY,2.470564152,3.701285715,2.988595015,1.976141206,4.306699282,4.392181177,4.09806876,4.607883562,3.781193533,3.904858433,3.657142627,5.666262202,2.154680656,1.791715062,1.718180798,1.738216347,0,1.422569385,1.36896282,1.265625729,1.369414892,1.394854641,1.634198399,1.656019199,1.579182927,1.683793811,2.862219149,2.525431678,2.710768315,3.352446647,4.526097273
MNG,2.868232446,4.095047978,3.390668882,2.398163252,4.690857137,4.775588941,4.481666354,4.990519935,4.165019299,4.288744136,4.04219247,5.897251389,2.544219246,2.262484947,2.18288062,2.200134256,1.422569385,0,1.74959084,1.432685593,1.570920584,1.604935681,1.895435447,1.858879587,1.732022218,1.847251025,3.071016593,2.71487374,2.889316861,3.560306744,4.735522844
JZ,2.678533371,3.811077427,3.076480746,2.146349414,4.381019512,4.462535266,4.168108026,4.675113845,3.848069693,3.967725346,3.714626364,5.646971161,2.407551155,1.965079329,2.05229421,2.179359933,1.36896282,1.74959084,0,1.414536061,1.450904161,1.439819035,1.547776382,1.652508246,1.629280785,1.714101701,2.850417884,2.530190873,2.725603734,3.344990037,4.520217056
RK,2.722083052,3.895378392,3.181798864,2.22386894,4.469673,4.552158945,4.258208681,4.765228835,3.940281448,4.062298488,3.814112425,5.524833425,2.425809499,2.063890721,2.055305565,2.121616509,1.265625729,1.432685593,1.414536061,0,0.965074416,1.090911229,1.495815531,1.445070157,1.318167969,1.454117476,2.684293377,2.325310806,2.501836583,3.176530739,4.354793625
HH,2.797755122,3.957697563,3.243187351,2.295996284,4.525422869,4.607256739,4.313327977,4.819763515,3.995127069,4.116743948,3.868347776,5.522270724,2.507056207,2.136723456,2.14189265,2.218237277,1.369414892,1.570920584,1.450904161,0.965074416,0,0.93477698,1.481815383,1.418508031,1.298482152,1.443532346,2.675408828,2.315580754,2.493741214,3.169037407,4.348702133
JZX,2.803453719,3.954090849,3.239649062,2.300349308,4.516609574,4.597949551,4.304057353,4.810016218,3.985716723,4.107099848,3.858722979,5.456945926,2.516231227,2.143280233,2.155693181,2.237510833,1.394854641,1.604935681,1.439819035,1.090911229,0.93477698,0,1.414180024,1.326357178,1.210086914,1.364620231,2.602708127,2.240291866,2.419081669,3.097367875,4.278356218
HN,2.94609222,4.045732588,3.329709987,2.435989975,4.581800561,4.660317434,4.366425719,4.869970656,4.046606057,4.165951392,3.916155929,5.382707203,2.677448484,2.295745546,2.342181204,2.450015794,1.634198399,1.895435447,1.547776382,1.495815531,1.481815383,1.414180024,0,1.35660836,1.48931651,1.502661446,2.552390287,2.256085502,2.475198995,3.064130735,4.250599008
XH,3.009832046,4.129486667,3.419484201,2.507273327,4.670907905,4.75039688,4.456777827,4.960727872,4.138367593,4.259348446,4.012230416,5.307751761,2.732261754,2.363146226,2.388241469,2.481114674,1.656019199,1.858879587,1.652508246,1.445070157,1.418508031,1.326357178,1.35660836,0,1.242887321,1.203051998,2.399684893,2.033361762,2.235715647,2.905527362,4.098173267
LT,2.962841371,4.102041379,3.392147821,2.463824074,4.654175819,4.734722949,4.4410476,4.945986629,4.123006393,4.244553996,3.997528179,5.394726857,2.677995255,2.316095704,2.326975312,2.409244865,1.579182927,1.732022218,1.629280785,1.318167969,1.298482152,1.210086914,1.48931651,1.242887321,0,1.134941776,2.502191711,2.095099602,2.248183154,2.991648304,4.173990419
LX,3.045909061,4.170478048,3.463484739,2.54722201,4.711848412,4.791532836,4.498046492,5.001955789,4.180174871,4.301743383,4.055771049,5.26010365,2.765573432,2.404447511,2.421147639,2.508534433,1.683793811,1.847251025,1.714101701,1.454117476,1.443532346,1.364620231,1.502661446,1.203051998,1.134941776,0,2.32761448,1.872810363,2.011556484,2.812917291,3.9989749
DY,4.156945036,5.221342098,4.533294196,3.662894569,5.711499553,5.787583957,5.49532764,5.994266715,5.179616399,5.302783656,5.064621498,4.966711472,3.893205473,3.538658247,3.571026118,3.673827488,2.862219149,3.071016593,2.850417884,2.684293377,2.675408828,2.602708127,2.552390287,2.399684893,2.502191711,2.32761448,0,2.459413457,2.875657263,2.549510929,3.835230868
HZ,3.852875965,4.947810012,4.249194994,3.355807419,5.464888043,5.542835788,5.249902634,5.751477087,4.932936962,5.055126129,4.812569991,5.484944693,3.58098338,3.222021414,3.247650719,3.343385935,2.525431678,2.71487374,2.530190873,2.325310806,2.315580754,2.240291866,2.256085502,2.033361762,2.095099602,1.872810363,2.459413457,0,2.071021782,2.83573424,4.055394692
GL,4.047434909,5.149782174,4.44992912,3.550643641,5.672133206,5.75052866,5.457511045,5.959599327,5.140499178,5.262713112,5.019687038,5.806247726,3.773222409,3.414899229,3.437279631,3.530328613,2.710768315,2.889316861,2.725603734,2.501836583,2.493741214,2.419081669,2.475198995,2.235715647,2.248183154,2.011556484,2.875657263,2.071021782,0,3.204670764,4.285903409
DL,4.634236361,5.681795859,5.003844684,4.144502812,6.153021067,6.228244071,5.936669867,6.433837558,5.622723364,5.747503035,5.513902786,4.975323374,4.374055226,4.025656176,4.057589093,4.161711637,3.352446647,3.560306744,3.344990037,3.176530739,3.169037407,3.097367875,3.064130735,2.905527362,2.991648304,2.812917291,2.549510929,2.83573424,3.204670764,0,3.059623212
YZ,5.792643199,6.82196904,6.15411799,5.307035247,7.273560714,7.347940265,7.057062975,7.552455661,6.744922884,6.871322686,6.642254571,5.85221376,5.536540763,5.193996621,5.226399198,5.332540389,4.526097273,4.735522844,4.520217056,4.354793625,4.348702133,4.278356218,4.250599008,4.098173267,4.173990419,3.9989749,3.835230868,4.055394692,4.285903409,3.059623212,0
